founded_at,funding_rounds,funding_total_usd,milestones,lat,lng,relationships,status
1999,5.0,125371133.0,1.0,33.158093300000004,-117.3505939,4.0,1
2011,5.0,125371133.0,1.0,1.352083,103.819836,2.0,1
1996,6.0,33521974.0,1.0,45.5016889,-73.567256,4.0,2
1980,5.0,125371133.0,1.0,39.7495331,-8.807683,4.0,1
2003,5.0,125371133.0,1.0,51.7989701,-0.4007992,4.0,1
1984,5.0,125371133.0,1.0,51.7520209,-1.2577263,7.0,1
2010,5.0,125371133.0,1.0,35.6894875,139.69170640000002,4.0,1
2010,5.0,125371133.0,1.0,44.7443293,-92.8513706,1.0,1
2004,5.0,125371133.0,1.0,28.5383355,-81.3792365,9.0,1
2001,5.0,125371133.0,1.0,51.5073509,-0.1277583,1.0,1
2001,5.0,125371133.0,2.0,36.0458512,-95.85226690000002,3.0,1
2011,5.0,125371133.0,1.0,12.914141699999998,74.8559568,1.0,1
2011,5.0,125371133.0,1.0,41.1579438,-8.6291053,4.0,1
2010,5.0,125371133.0,1.0,51.5073509,-0.1277583,4.0,1
2002,5.0,125371133.0,1.0,53.9007159,30.3313598,4.0,1
1986,5.0,125371133.0,1.0,35.6894875,139.69170640000002,4.0,2
2007,5.0,125371133.0,1.0,34.0522342,-118.24368490000002,2.0,1
2005,5.0,125371133.0,1.0,51.280284,7.0349609,1.0,1
2008,5.0,125371133.0,1.0,38.8816208,-77.0909809,6.0,1
2011,5.0,125371133.0,1.0,48.856614,2.3522218999999995,2.0,1
2005,7.0,351600000.0,3.0,34.01945429999999,-118.4911912,29.0,1
2008,5.0,125371133.0,1.0,29.4241219,-98.4936282,1.0,1
2008,5.0,125371133.0,1.0,37.7749295,-122.4194155,2.0,1
1999,5.0,125371133.0,1.0,37.4377489,-100.9877657,2.0,1
2002,5.0,125371133.0,1.0,38.2526647,-85.7584557,1.0,1
2011,5.0,125371133.0,1.0,44.786568,20.4489216,6.0,1
2008,5.0,125371133.0,1.0,41.9973462,21.4279956,7.0,1
2000,5.0,125371133.0,1.0,41.5454486,-8.426507,3.0,1
2004,5.0,125371133.0,1.0,41.5454486,-8.426507,2.0,1
2008,5.0,125371133.0,1.0,39.7392358,-104.990251,1.0,1
2007,5.0,125371133.0,1.0,39.7392358,-104.990251,1.0,1
2000,5.0,125371133.0,1.0,37.680651,-97.390305,12.0,1
2008,5.0,125371133.0,1.0,43.653226,-79.3831843,3.0,1
1995,5.0,125371133.0,2.0,41.8781136,-87.62979820000001,6.0,1
1982,5.0,125371133.0,1.0,27.4117037,-82.4285151,4.0,2
2011,5.0,125371133.0,1.0,20.8569444,-156.31305559999998,2.0,1
2008,5.0,125371133.0,1.0,38.8367674,-80.3425838,2.0,1
1967,5.0,125371133.0,3.0,53.34980529999999,-6.2603097000000005,21.0,1
2005,5.0,125371133.0,1.0,36.1699412,-115.13982959999998,4.0,1
2011,5.0,125371133.0,1.0,33.6412156,-117.9188221,1.0,1
2007,5.0,125371133.0,1.0,37.9479786,-122.0607963,1.0,1
2008,5.0,125371133.0,1.0,42.3709104,-72.5170028,4.0,1
2007,5.0,125371133.0,1.0,38.3929675,-120.8024357,2.0,1
2011,5.0,125371133.0,1.0,50.0755381,14.4378005,3.0,1
2011,5.0,125371133.0,2.0,39.2903848,-76.6121893,4.0,1
2005,5.0,125371133.0,1.0,53.8007554,-1.5490774,8.0,1
2006,5.0,80512816.0,2.0,37.562991700000005,-122.3255254,4.0,1
2007,5.0,125371133.0,1.0,21.3069444,-157.8583333,4.0,1
2011,5.0,125371133.0,1.0,18.5204303,73.85674370000001,4.0,1
2004,5.0,125371133.0,1.0,44.9597376,-93.3702186,2.0,1
2008,5.0,125371133.0,1.0,28.6139391,77.20902120000001,2.0,1
2006,5.0,125371133.0,1.0,13.0826802,80.2707184,4.0,1
2011,5.0,125371133.0,1.0,42.1969689,-88.0934108,1.0,1
2011,5.0,125371133.0,1.0,-34.9284989,138.6007456,2.0,1
2003,5.0,125371133.0,1.0,42.4663727,-72.5795115,2.0,1
2008,5.0,125371133.0,1.0,54.597285,-5.93012,1.0,1
2007,5.0,125371133.0,1.0,35.96063839999999,-83.9207392,5.0,1
2003,5.0,125371133.0,1.0,54.597285,-5.93012,9.0,2
1996,5.0,125371133.0,1.0,40.7127753,-74.0059728,4.0,1
2011,5.0,125371133.0,1.0,44.8923859,-123.0363585,2.0,1
2007,5.0,125371133.0,1.0,51.7520209,-1.2577263,2.0,1
2011,5.0,125371133.0,1.0,32.162413,34.844675,2.0,1
2011,5.0,125371133.0,2.0,30.267153000000004,-97.7430608,3.0,1
2011,5.0,125371133.0,1.0,30.267153000000004,-97.7430608,4.0,1
2007,5.0,125371133.0,1.0,49.839683,24.029717,1.0,1
2003,5.0,125371133.0,1.0,54.597285,-5.93012,5.0,1
1996,5.0,125371133.0,1.0,45.487062,-122.8037102,4.0,1
1999,5.0,125371133.0,2.0,48.1351253,11.581980499999998,2.0,2
2008,5.0,125371133.0,1.0,35.2270869,-80.8431267,1.0,1
2005,5.0,125371133.0,1.0,35.2219971,-101.8312969,4.0,1
2005,5.0,125371133.0,1.0,32.0852999,34.7817676,1.0,1
2007,5.0,125371133.0,1.0,52.5200066,13.404954,4.0,1
2011,5.0,125371133.0,1.0,34.187044,-118.3812562,1.0,1
2001,5.0,125371133.0,1.0,-38.158,145.135,5.0,1
2001,5.0,125371133.0,2.0,35.6894875,139.69170640000002,1.0,1
2009,5.0,125371133.0,1.0,40.767323,-74.20486770000001,4.0,1
2010,5.0,125371133.0,1.0,33.668077200000006,-117.3272615,4.0,1
2011,5.0,125371133.0,1.0,52.205337,0.121817,1.0,1
2008,4.0,29540000.0,3.0,34.151749200000005,-118.52142820000002,15.0,1
2007,5.0,125371133.0,1.0,42.3628843,-71.093751,2.0,1
2007,7.0,60000000.0,5.0,34.0522342,-118.24368490000002,29.0,1
2005,5.0,125371133.0,1.0,39.9333635,32.8597419,1.0,1
2011,5.0,125371133.0,1.0,40.7127753,-74.0059728,3.0,1
2008,5.0,125371133.0,1.0,40.4167754,-3.7037902,1.0,1
1996,5.0,125371133.0,1.0,49.282729100000005,-123.1207375,2.0,1
2010,5.0,125371133.0,1.0,12.9715987,77.5945627,1.0,1
2004,5.0,125371133.0,1.0,-36.8484597,174.7633315,1.0,1
2006,5.0,125371133.0,1.0,42.376485200000005,-71.2356113,1.0,1
2007,5.0,125371133.0,2.0,33.3128057,44.3614875,4.0,1
2011,5.0,125371133.0,1.0,39.9333635,32.8597419,1.0,1
2011,5.0,125371133.0,1.0,50.0755381,14.4378005,1.0,1
2006,5.0,125371133.0,1.0,55.763516,12.4949429,3.0,1
2011,5.0,125371133.0,1.0,51.8031689,-0.208661,2.0,1
2011,5.0,125371133.0,1.0,52.3702157,4.895167900000001,1.0,1
2001,5.0,125371133.0,1.0,40.6333389,14.6028963,4.0,1
2000,5.0,125371133.0,3.0,53.34980529999999,-6.2603097000000005,5.0,1
2010,5.0,125371133.0,1.0,15.8496953,74.4976741,1.0,1
1999,5.0,125371133.0,1.0,34.7464809,-92.2895948,1.0,1
2011,5.0,125371133.0,1.0,33.8160058,-78.68001600000001,2.0,1
2006,5.0,125371133.0,1.0,40.4406248,-79.9958864,4.0,1
2011,5.0,125371133.0,1.0,37.7749295,-122.4194155,1.0,1
2011,5.0,125371133.0,1.0,41.0082376,28.9783589,1.0,1
2010,5.0,125371133.0,1.0,45.4408474,12.3155151,2.0,1
2005,5.0,125371133.0,1.0,53.4807593,-2.2426305,4.0,1
2006,5.0,125371133.0,1.0,32.184781,34.871326,4.0,1
2009,5.0,125371133.0,1.0,36.802299,-98.405251,4.0,1
2007,5.0,125371133.0,1.0,-32.9442426,-60.65053879999999,3.0,1
2011,5.0,125371133.0,1.0,30.267153000000004,-97.7430608,3.0,1
2001,5.0,125371133.0,1.0,26.1003654,-80.3997748,4.0,1
2008,5.0,125371133.0,1.0,39.9525839,-75.1652215,6.0,1
2010,5.0,125371133.0,1.0,33.494170399999994,-111.9260519,1.0,1
2005,5.0,125371133.0,1.0,37.4418834,-122.1430195,4.0,1
2003,5.0,125371133.0,2.0,51.5073509,-0.1277583,1.0,1
2000,5.0,125371133.0,1.0,25.7616798,-80.1917902,4.0,1
2002,5.0,125371133.0,1.0,34.1501794,-118.35496090000002,4.0,1
2009,5.0,125371133.0,1.0,39.1156615,-77.5636015,2.0,1
2007,5.0,125371133.0,2.0,52.205337,0.121817,4.0,1
2005,5.0,125371133.0,1.0,21.0277644,105.8341598,4.0,1
2007,5.0,125371133.0,1.0,33.5684605,-117.7262981,1.0,1
2008,5.0,125371133.0,1.0,35.6512655,-78.8336218,2.0,1
2006,5.0,125371133.0,1.0,45.4642035,9.189982,3.0,1
2011,5.0,125371133.0,1.0,34.0522342,-118.24368490000002,2.0,1
2007,5.0,125371133.0,1.0,51.1078852,17.0385376,1.0,1
2004,5.0,125371133.0,1.0,40.7127753,-74.0059728,2.0,1
1999,5.0,125371133.0,1.0,38.979222,-94.772516,5.0,1
2006,5.0,125371133.0,2.0,53.7892877,-2.2405035,2.0,1
2010,5.0,125371133.0,1.0,52.3507849,5.2647016,4.0,1
2008,5.0,125371133.0,1.0,52.406374,16.9251681,2.0,1
2003,5.0,125371133.0,1.0,40.7127753,-74.0059728,3.0,2
2005,8.0,116400000.0,3.0,40.7127753,-74.0059728,24.0,4
2008,5.0,125371133.0,1.0,1.352083,103.819836,1.0,1
2011,5.0,125371133.0,1.0,37.8881751,-4.7793835,1.0,1
2011,5.0,125371133.0,1.0,52.5200066,13.404954,2.0,1
2011,5.0,125371133.0,1.0,33.883992600000006,-84.51437609999999,1.0,1
2009,5.0,125371133.0,1.0,45.3270631,14.442176000000002,4.0,1
2010,5.0,125371133.0,1.0,31.2303904,121.4737021,1.0,1
2001,5.0,125371133.0,1.0,37.9429857,23.6469832,4.0,1
2001,5.0,125371133.0,1.0,37.0920222,-84.6041084,4.0,1
2009,5.0,125371133.0,1.0,34.1466467,-118.8073729,4.0,1
2007,5.0,125371133.0,1.0,47.6101497,-122.2015159,4.0,1
2011,5.0,125371133.0,1.0,6.3702928,2.3912362000000003,4.0,3
2012,5.0,125371133.0,1.0,-38.7359018,-72.5903739,6.0,1
2004,5.0,125371133.0,1.0,37.7749295,-122.4194155,3.0,1
2010,5.0,125371133.0,1.0,52.205337,0.121817,2.0,1
2004,5.0,125371133.0,1.0,37.562991700000005,-122.3255254,3.0,1
1993,5.0,125371133.0,3.0,26.8171165,-80.0590804,5.0,4
2002,5.0,125371133.0,1.0,37.4418834,-122.1430195,1.0,2
2011,5.0,125371133.0,1.0,-22.9068467,-43.1728965,4.0,1
2006,5.0,125371133.0,1.0,33.7489954,-84.3879824,3.0,1
1995,5.0,125371133.0,2.0,37.7749295,-122.4194155,20.0,2
2011,5.0,125371133.0,1.0,37.1929578,-95.7175467,1.0,1
1997,5.0,125371133.0,1.0,41.3850639,2.1734035,1.0,1
2009,5.0,125371133.0,1.0,53.6993066,10.000879800000002,4.0,1
2007,5.0,125371133.0,1.0,-37.8136276,144.96305759999998,1.0,1
2010,5.0,125371133.0,1.0,32.5420821,-97.3208492,3.0,1
2010,5.0,125371133.0,1.0,12.9715987,77.5945627,4.0,1
2011,5.0,125371133.0,1.0,12.9715987,77.5945627,4.0,1
2002,5.0,125371133.0,2.0,37.2638324,-122.0230146,4.0,1
2010,5.0,125371133.0,1.0,1.352083,103.819836,4.0,1
2011,5.0,125371133.0,1.0,39.9041999,116.4073963,4.0,1
2007,5.0,125371133.0,1.0,33.7489954,-84.3879824,1.0,1
1999,5.0,125371133.0,1.0,42.376485200000005,-71.2356113,1.0,1
2011,5.0,125371133.0,3.0,34.0522342,-118.24368490000002,2.0,1
2007,5.0,125371133.0,1.0,32.715738,-117.1610838,4.0,1
2006,5.0,125371133.0,1.0,47.7510741,-120.7401385,17.0,1
2007,5.0,125371133.0,1.0,40.7127753,-74.0059728,3.0,1
2011,5.0,125371133.0,1.0,-33.4488897,-70.66926550000001,1.0,1
2008,5.0,125371133.0,1.0,5.6037168,-0.1869644,1.0,1
2006,5.0,125371133.0,2.0,45.523062200000005,-122.6764815,3.0,1
2008,5.0,125371133.0,1.0,33.2000368,-117.2425355,4.0,1
2009,5.0,125371133.0,1.0,42.3056501,-71.52450870000001,1.0,1
2006,5.0,125371133.0,1.0,52.486243,-1.890401,3.0,1
2011,5.0,125371133.0,1.0,-23.5505199,-46.6333094,1.0,1
2011,5.0,125371133.0,1.0,-33.4488897,-70.66926550000001,1.0,1
1996,5.0,125371133.0,1.0,37.8771476,-122.1796888,8.0,2
2011,5.0,125371133.0,1.0,51.753241,-0.448632,2.0,1
2007,5.0,125371133.0,1.0,37.7749295,-122.4194155,3.0,1
1994,5.0,125371133.0,1.0,42.1945758,-122.7094767,18.0,1
2001,5.0,125371133.0,1.0,42.376485200000005,-71.2356113,5.0,1
2008,5.0,125371133.0,1.0,-33.9248685,18.424055300000003,4.0,1
1999,5.0,125371133.0,1.0,45.4642035,9.189982,4.0,2
2003,5.0,125371133.0,1.0,38.9586307,-77.35700279999999,1.0,1
2007,5.0,125371133.0,1.0,51.5073509,-0.1277583,4.0,1
2004,5.0,125371133.0,1.0,45.5016889,-73.567256,1.0,1
2008,5.0,125371133.0,1.0,13.0826802,80.2707184,3.0,1
2005,5.0,125371133.0,2.0,-36.8484597,174.7633315,4.0,1
2008,5.0,125371133.0,1.0,38.5815719,-121.4943996,4.0,3
2008,5.0,125371133.0,3.0,53.4807593,-2.2426305,1.0,1
2005,5.0,125371133.0,1.0,53.4807593,-2.2426305,1.0,1
2005,5.0,125371133.0,1.0,59.9138688,10.7522454,1.0,1
2003,5.0,125371133.0,1.0,35.2270869,-80.8431267,7.0,2
1995,5.0,125371133.0,1.0,40.2414952,-75.28378620000001,2.0,1
2008,5.0,125371133.0,1.0,45.6668893,12.2430437,1.0,1
2003,5.0,125371133.0,1.0,45.5016889,-73.567256,4.0,1
2003,6.0,53816776.0,1.0,37.3541079,-121.9552356,8.0,2
1980,5.0,125371133.0,1.0,44.9591352,-89.6301221,2.0,1
2011,5.0,125371133.0,2.0,32.0852999,34.7817676,2.0,1
1989,5.0,125371133.0,1.0,40.9487097,-73.7326309,4.0,1
2013,5.0,125371133.0,1.0,46.2043907,6.143157700000001,4.0,1
1993,5.0,125371133.0,1.0,42.65257929999999,-73.7562317,2.0,1
2007,5.0,125371133.0,1.0,44.977753,-93.2650108,2.0,1
2001,5.0,125371133.0,1.0,26.2128609,-80.2497707,1.0,1
2007,5.0,125371133.0,2.0,47.6062095,-122.33207079999998,2.0,3
